"Direcc..Media.de.Proced..0.N.90.E."	"logHm0"	"logTm02"	"logTp"	"ID"	"loc"
66	1.44456326924387	1.90805992492422	2.20717490818939	211	"MarBarcelona"
66	2.0360119837525	2.1621729392773	2.41947884446554	211	"MarBarcelona"
61	1.708377860289	2.02814824729229	2.31253542384721	211	"MarBarcelona"
76	1.41098697371026	1.88555334851442	2.13653050866396	211	"MarBarcelona"
53	1.52169899812609	1.96290772542388	2.26384426467762	211	"MarBarcelona"
60	1.4655675420144	1.93007108502557	2.20717490818939	211	"MarBarcelona"
61	1.82454929205105	2.10778601468898	2.37490575457367	211	"MarBarcelona"
58	1.30291275218084	1.77833644889591	2.09556092355972	211	"MarBarcelona"
62	1.3787660946991	1.89911798754855	2.18041745901984	211	"MarBarcelona"
73	1.7630170003624	2.03339760317843	2.25339484880327	211	"MarBarcelona"
218	1.45861502269952	1.85941811770187	2.11986345617875	211	"MarBarcelona"
70	1.47704872438835	1.92716410623426	2.16332302566054	211	"MarBarcelona"
113	1.61541998411165	2.002830439308	2.29253475714054	211	"MarBarcelona"
91	1.57484646766448	1.9387416595767	2.16332302566054	211	"MarBarcelona"
58	1.87180217690159	2.14358936150359	2.41947884446554	211	"MarBarcelona"
59	1.89160480419777	2.14006616349627	2.40784560365154	211	"MarBarcelona"
85	1.79342474854712	2.05540496385159	2.29253475714054	211	"MarBarcelona"
56	1.28370777234479	1.83098018238134	2.2082744135228	211	"MarBarcelona"
80	1.54968790802833	1.91250108692418	2.20717490818939	211	"MarBarcelona"
67	1.57897870494939	1.96850998097255	2.21593728626837	211	"MarBarcelona"
74	1.83258146374831	2.06178660644112	2.28238238567653	211	"MarBarcelona"
52	1.63705307946707	1.95727390770563	2.24389609664537	211	"MarBarcelona"
59	1.22377543162212	1.8484548129046	2.16332302566054	211	"MarBarcelona"
44	1.90508815453506	2.02814824729229	2.32238772029023	211	"MarBarcelona"
223	1.27815220250019	1.79674701073909	2.04769284336526	211	"MarBarcelona"
70	1.77155676191054	2.06051353179432	2.33311429802887	211	"MarBarcelona"
76	1.55392520250384	1.94876321803772	2.16332302566054	211	"MarBarcelona"
89	1.54329810992956	1.92716410623426	2.17133680638409	211	"MarBarcelona"
56	1.8213182714696	2.04640168760164	2.33311429802887	211	"MarBarcelona"
98	1.45628673293993	1.92278773163446	2.19833507162025	211	"MarBarcelona"
65	1.50407739677627	1.96711235670592	2.25339484880327	211	"MarBarcelona"
87	1.44456326924387	1.90061387414014	2.14593128294867	211	"MarBarcelona"
216	1.51732262352629	1.880990602956	2.13653050866396	211	"MarBarcelona"
115	1.44220199305819	1.88555334851442	2.14593128294867	211	"MarBarcelona"
84	1.61342993370364	1.96711235670592	2.17133680638409	211	"MarBarcelona"
65	1.4655675420144	1.94876321803772	2.2353763433006	211	"MarBarcelona"
82	1.29746314741327	1.8196988379173	2.04769284336526	211	"MarBarcelona"
215	1.3787660946991	1.8484548129046	2.07944154167984	211	"MarBarcelona"
98	1.3244189574018	1.82616089594539	2.06305806242931	211	"MarBarcelona"
60	1.69744878975681	1.95444505150515	2.22570404865809	211	"MarBarcelona"
60	1.70656462316482	2.05796251000271	2.33311429802887	211	"MarBarcelona"
53	1.16002091679675	1.83418018511201	2.17133680638409	211	"MarBarcelona"
218	1.31372366828506	1.79009141212736	2.04769284336526	211	"MarBarcelona"
107	1.47932922708708	1.89009536994892	2.11986345617875	211	"MarBarcelona"
60	1.87180217690159	2.07191327525904	2.34372703632522	211	"MarBarcelona"
73	1.62334081760309	1.99333884262642	2.2353763433006	211	"MarBarcelona"
80	1.86562931779451	2.03470564783844	2.25339484880327	211	"MarBarcelona"
42	1.51072193949494	1.95444505150515	2.27315628230323	211	"MarBarcelona"
212	1.47017584510059	1.86717610851281	2.13416644136908	211	"MarBarcelona"
50	1.51951320490611	1.86872051036418	2.1540850846756	211	"MarBarcelona"
34	1.68268837417369	1.98650354602057	2.35232718488886	211	"MarBarcelona"
56	1.62136648329937	2.06812778177956	2.43009841329301	211	"MarBarcelona"
53	1.75267208052001	2.01223279198639	2.33408376005342	211	"MarBarcelona"
27	1.91985947185537	2.00955541421567	2.25758772706331	211	"MarBarcelona"
57	1.28647402583768	1.87180217690159	2.30856716467159	211	"MarBarcelona"
37	1.80005827204275	2.07819075977818	2.42391737816157	211	"MarBarcelona"
36	1.7732559976635	1.96850998097255	2.34564458245449	211	"MarBarcelona"
38	1.85629799036563	2.08442908319087	2.43273577745909	211	"MarBarcelona"
35	1.90657514365664	2.04510886259933	2.41858876875035	211	"MarBarcelona"
49	1.65057985576528	2.00552585872967	2.4248027257183	211	"MarBarcelona"
65	1.94591014905531	2.14006616349627	2.44147709186066	211	"MarBarcelona"
217	1.56861591791385	1.96990565461153	2.2082744135228	211	"MarBarcelona"
38	1.91985947185537	1.9473377010465	2.30358459332713	211	"MarBarcelona"
60	2.07819075977818	2.18829594659192	2.494031557565	211	"MarBarcelona"
58	1.73695123273306	1.96850998097255	2.30358459332713	211	"MarBarcelona"
42	1.41827740697294	1.99605993274078	2.30358459332713	211	"MarBarcelona"
46	1.87946504964716	2.1150499691472	2.39880395073459	211	"MarBarcelona"
218	1.49962304642689	1.95868534054404	2.30358459332713	211	"MarBarcelona"
43	1.6094379124341	1.92570744173779	2.30358459332713	211	"MarBarcelona"
71	1.4036429994545	1.91692261218206	2.22570404865809	2102	"MarTarragona"
68	1.86872051036418	2.1540850846756	2.43009841329301	2102	"MarTarragona"
62	1.5830939370945	1.93585981320181	2.22570404865809	2102	"MarTarragona"
76	1.31372366828506	1.86408013080768	2.12823170584927	2102	"MarTarragona"
82	1.30833281965018	1.85473426838944	2.11142458753289	2102	"MarTarragona"
73	1.35325450704169	1.92278773163446	2.24389609664537	2102	"MarTarragona"
64	1.57484646766448	2.05923883436232	2.37490575457367	2102	"MarTarragona"
73	1.27256559579155	1.84530023615608	2.16332302566054	2102	"MarTarragona"
